FID,CITY_NAME,CNTRY_NAME,FIPS_CNTRY,geometry,POP_updated,POP_rank_updated,capital,distance_sea,city_type,pop_diff,all_coast,all_inland,single_city_cntry,first_batch,UN
1628,Praia,Cape Verde,CV,POINT (-2618345.248635168 1680327.653849921),137868.0,5,1,1.6276279649303562,coast,,1,0,1,0,1
651,Nicosia,Cyprus,CY,POINT (3714620.465941647 4187143.856283624),56479.0,6,1,22.265381846557283,inland,,0,0,0,1,1
652,Larnaka,Cyprus,CY,POINT (3744342.100202405 4152607.897354529),52046.0,6,0,0.4810629418807335,coast,4433.0,0,0,0,1,1
996,Copenhagen,Denmark,DA,POINT (1397059.208208475 7502876.104936124),1378649.0,2,1,3.624332651491295,coast,,0,0,0,1,1
930,Viborg,Denmark,DA,POINT (1048295.352587238 7649129.602520228),42305.0,7,0,17.438830426969893,inland,1336344.0,0,0,0,1,1
874,Djibouti,Djibouti,DJ,POINT (4797870.207168958 1288857.410462036),776966.0,3,1,8.855137086888062,coast,,0,0,0,1,1
877,Ali Sabieh,Djibouti,DJ,POINT (4754678.362246973 1249348.41316183),44782.0,7,0,36.84058971044769,inland,732184.0,0,0,0,1,1
1560,Roseau,Dominica,DO,POINT (-6833733.07455516 1723683.199287527),14725.0,7,1,0.2123057892797123,coast,,1,0,1,0,1
429,Santo Domingo,Dominican Republic,DR,POINT (-7781121.495874469 2094864.988356963),2752784.0,2,1,1.799947465993243,coast,,0,0,0,1,1
413,Santiago,Dominican Republic,DR,POINT (-7871066.864747788 2208697.01898325),612595.0,3,0,37.21791326243557,inland,2140189.0,0,0,0,1,1
69,Quito,Ecuador,EC,POINT (-8741282.81667071 -25547.88236192561),1763275.0,2,1,163.85567484007456,inland,,0,0,0,1,1
54,Machala,Ecuador,EC,POINT (-8900438.747622473 -363766.6126654436),288072.0,4,0,3.0166644687113537,coast,1475203.0,0,0,0,1,1
677,Cairo,Egypt,EG,POINT (3478823.06696421 3513568.383398851),9801536.0,1,1,133.80442776883837,inland,,0,0,0,1,1
665,Alexandria,Egypt,EG,POINT (3329020.662985192 3659335.149813773),5362517.0,1,0,0.1554049560232058,coast,4439019.0,0,0,0,1,1
1607,Dublin,Ireland,EI,POINT (-696564.8724210347 7046428.87102982),592713.0,3,1,4.598314664625148,coast,,0,0,0,1,1
1610,Cork,Ireland,EI,POINT (-945213.3151187559 6781702.793607472),131423.0,5,0,22.11117729988808,inland,461290.0,0,0,0,1,1
510,Malabo,Equatorial Guinea,EK,POINT (976557.0581901014 417032.9254130508),132440.0,5,1,1.4457874002621145,coast,,0,0,0,1,1
540,Ebebiyin,Equatorial Guinea,EK,POINT (1261249.984462675 239727.0580046907),19515.0,7,0,169.18253112355254,inland,112925.0,0,0,0,1,1
2137,Tallinn,Estonia,EN,POINT (2755157.432672168 8270995.044441925),437817.0,4,1,5.447415967602471,coast,,1,0,1,0,1
859,Asmara,Eritrea,ER,POINT (4338120.599097612 1727260.702368662),380568.0,4,1,59.554947242165404,inland,,0,1,1,0,1
329,San Salvador,El Salvador,ES,POINT (-9929724.472876636 1539982.288859657),316090.0,4,1,27.08447255558688,inland,,0,0,0,1,1
322,La Union,El Salvador,ES,POINT (-9778192.818952367 1497687.752587277),16911.0,7,0,0.6108704636317396,coast,299179.0,0,0,0,1,1
886,Addis Ababa,Ethiopia,ET,POINT (4308064.337260117 1009402.085523482),3860000.0,2,1,510.8226212366519,inland,,0,1,0,0,1
966,Prague,Czech Republic,EZ,POINT (1609345.579694499 6464652.921291353),1301432.0,2,1,688.6176213047936,inland,,0,1,0,0,1
2136,Helsinki,Finland,FI,POINT (2780393.675787913 8443598.846845994),674500.0,3,1,0.7291918914801118,coast,,0,0,0,1,1
2143,Jyvaskyla,Finland,FI,POINT (2866254.396059826 8917471.14961708),147746.0,5,0,408.18579560275134,inland,526754.0,0,0,0,1,1
2526,Suva,Fiji,FJ,POINT (19864709.91923504 -2053301.299439344),185913.0,5,1,1.3752588041448444,coast,,1,0,1,0,1
1453,Palikir,Micronesia,FM,POINT (17612603.17870659 777447.7894506138),6647.0,7,1,0.0,coast,,1,0,1,0,1
1937,Paris,France,FR,POINT (262152.1853020673 6250849.855410966),2133111.0,2,1,229.65140589704325,inland,,0,0,0,1,1
1919,Marseille,France,FR,POINT (599455.1561641973 5355452.243053542),873076.0,3,0,1.9172198676825285,coast,1260035.0,0,0,0,1,1
1713,Banjul,The Gambia,GA,POINT (-1847546.385265865 1512788.226379486),31054.0,7,1,1.4711405609878363,coast,,0,0,0,1,1
1722,Basse Santa Su,The Gambia,GA,POINT (-1583296.744654032 1495171.475984878),11354.0,7,0,196.9682159590703,inland,19700.0,0,0,0,1,1
519,Libreville,Gabon,GB,POINT (1052414.062646942 43525.80842123812),703940.0,3,1,1.2357065087622687,coast,,0,0,0,1,1
2359,Masuku (Franceville),Gabon,GB,POINT (1514278.631216878 -181697.6382243382),110568.0,5,0,372.9035153569431,inland,593372.0,0,0,0,1,1
779,T'Bilisi,Georgia,GG,POINT (4985234.938883861 5119399.045266758),1154314.0,2,1,1189.3524318239945,inland,,0,1,0,0,1
1848,Accra,Ghana,GH,POINT (-22366.82844468055 619749.2250598329),2070463.0,2,1,1.7970518354832858,coast,,0,0,0,1,1
1846,Kumasi,Ghana,GH,POINT (-180559.9567375904 746089.1411621426),2035064.0,2,0,177.21712117679044,inland,35399.0,0,0,0,1,1
1565,Saint George's,Grenada,GJ,POINT (-6873422.355223078 1353107.169389859),3308.0,7,1,1.0641571254043285,coast,,1,0,1,0,1
985,Berlin,Germany,GM,POINT (1483618.2344287 6894017.246600147),3596999.0,2,1,280.7933499637283,inland,,0,0,0,1,1
910,Kiel,Germany,GM,POINT (1126665.057372562 7231949.082797518),249132.0,5,0,2.1577312977489376,coast,3347867.0,0,0,0,1,1
687,Athens,Greece,GR,POINT (2633039.846698651 4571517.906740225),3146164.0,2,1,0.8814319844386964,coast,,0,0,0,1,1
615,Larisa,Greece,GR,POINT (2495671.698720484 4813764.564089537),146374.0,5,0,48.39213228733146,inland,2999790.0,0,0,0,1,1
276,Guatemala,Guatemala,GT,POINT (-10077185.51542567 1645215.772699171),923392.0,3,1,80.69349261939277,inland,,0,0,0,1,1
334,Puerto Barrios,Guatemala,GT,POINT (-9862572.777656805 1773128.829049643),100593.0,5,0,0.7406644793956805,coast,822799.0,0,0,0,1,1
1690,Conakry,Guinea,GV,POINT (-1521959.924323388 1068057.982971809),1660973.0,2,1,0.4401288086255616,coast,,0,0,0,1,1
1777,Nzerekore,Guinea,GV,POINT (-981615.4532161829 865930.9780911169),195027.0,5,0,247.95848149979213,inland,1465946.0,0,0,0,1,1
1546,Georgetown,Guyana,GY,POINT (-6475454.411232643 755392.5139232315),118369.0,5,1,4.915600982127817,coast,,1,0,1,0,1
407,Port-au-Prince,Haiti,HA,POINT (-8053197.792735261 2099281.241403823),875978.0,3,1,2.074020143822556,coast,,0,0,0,1,1
405,Hinche,Haiti,HA,POINT (-8015448.136189679 2171779.105850022),30595.0,7,0,62.68766744877563,inland,845383.0,0,0,0,1,1
349,Tegucigalpa,Honduras,HO,POINT (-9707393.287082622 1585577.468578819),1132000.0,2,1,81.0726221798,inland,,0,0,0,1,1
314,La Ceiba,Honduras,HO,POINT (-9670546.32365652 1776368.140221483),209000.0,5,0,0.9958180634306376,coast,923000.0,0,0,0,1,1
984,Zagreb,Croatia,HR,POINT (1777104.617086875 5749475.079366432),663592.0,3,1,166.09189641258007,inland,,0,0,0,1,1
978,Rijeka,Croatia,HR,POINT (1606707.649623842 5674145.77962227),107964.0,5,0,0.8214591724923155,coast,555628.0,0,0,0,1,1
2042,Budapest,Hungary,HU,POINT (2125534.839895436 6026543.412662773),1685342.0,2,1,611.0927025235025,inland,,0,1,0,0,1
1602,Reykjavik,Iceland,IC,POINT (-2437340.430406353 9384128.756427735),239733.0,5,1,3.251248136248142,coast,,1,0,1,0,1
1482,Jakarta,Indonesia,ID,POINT (11888921.9951775 -687799.1996409829),9607787.0,1,1,4.565406173369462,coast,,0,0,0,1,1
1469,Bandung,Indonesia,ID,POINT (11978756.15311326 -771313.4556837199),2394873.0,2,0,69.23018562852783,inland,7212914.0,0,0,0,1,1
1038,New Delhi,India,IN,POINT (8595729.435482036 3320868.324907529),257803.0,4,1,927.152935822078,inland,,0,0,0,1,1
1123,Panaji,India,IN,POINT (8217382.217804342 1745967.053077242),114759.0,5,0,1.4433299714938452,coast,143044.0,0,0,0,1,1
2216,Tehran,Iran,IR,POINT (5727164.754477739 4269568.653985873),8693706.0,1,1,755.8077788192987,inland,,0,0,0,1,1
2294,Bandar-E Abbas,Iran,IR,POINT (6264393.403491385 3147857.126599395),526648.0,3,0,2.291941074619122,coast,8167058.0,0,0,0,1,1
826,Jerusalem,Israel,IS,POINT (3921253.261688584 3733647.517559947),981711.0,3,1,61.70024669069958,inland,,0,0,0,1,1
812,Tel Aviv-Yafo,Israel,IS,POINT (3870578.396235606 3769219.551245259),474530.0,4,0,2.19511669922417,coast,507181.0,0,0,0,1,1
600,Rome,Italy,IT,POINT (1393719.951054201 5143020.498696454),2754719.0,2,1,32.96461084664908,inland,,0,0,0,1,1
590,Naples,Italy,IT,POINT (1586305.462456011 4987793.295744269),911697.0,3,0,0.2434051004645492,coast,1843022.0,0,0,0,1,1
1822,Yamoussoukro,Cote d'Ivoire,IV,POINT (-588100.8284406138 760774.3070535831),212670.0,5,1,189.84961600512528,inland,,0,0,0,1,1
1768,San Pedro,Cote d'Ivoire,IV,POINT (-738826.9813783647 530714.6677080785),164944.0,5,0,2.345077315673921,coast,47726.0,0,0,0,1,1
832,Baghdad,Iraq,IZ,POINT (4942362.689548385 3939721.529680526),6719476.0,1,1,593.236545246881,inland,,0,1,0,0,1
1460,Tokyo,Japan,JA,POINT (15563467.39689217 4257090.153823774),9733276.0,1,1,2.7231663890319826,coast,,0,0,0,1,1
1464,Kyoto,Japan,JA,POINT (15112177.63081539 4165104.412025819),1463723.0,2,0,54.72313301472143,inland,8269553.0,0,0,0,1,1
400,Kingston,Jamaica,JM,POINT (-8549283.423937166 2033677.540405365),584627.0,3,1,0.2327597089239348,coast,,0,0,0,1,1
398,Spanish Town,Jamaica,JM,POINT (-8566257.193616476 2036962.846226352),147152.0,5,0,10.169706550865287,inland,437475.0,0,0,0,1,1
824,Amman,Jordan,JO,POINT (4000032.735580252 3756667.657578032),1812059.0,2,1,129.29312116490044,inland,,0,1,0,0,1
2446,Nairobi,Kenya,KE,POINT (4097002.244008185 -141387.2139429134),4828000.0,2,1,411.0382869445152,inland,,0,0,0,1,1
2427,Mombasa,Kenya,KE,POINT (4414362.319343761 -451325.3126267015),1208333.0,2,0,3.528301851080194,coast,3619667.0,0,0,0,1,1
1049,Bishkek,Kyrgyzstan,KG,POINT (8323358.596351802 5293723.805101711),1145044.0,2,1,2524.658632322245,inland,,0,1,0,0,1
1383,P'yongyang,North Korea,KN,POINT (13999205.24214168 4725827.001849595),2521785.0,2,1,49.54222921480173,inland,,0,0,0,1,1
1397,Hamhung,North Korea,KN,POINT (14199691.53813644 4853453.002495606),703610.0,3,0,3.644855143009624,coast,1818175.0,0,0,0,1,1
1454,Tarawa,Kiribati,KR,POINT (19249490.29421955 149266.0077835576),70090.0,6,1,0.0,coast,,1,0,1,0,1
1390,Seoul,South Korea,KS,POINT (14130366.76240668 4514976.419833351),9586195.0,1,1,32.672171365884495,coast,,0,0,0,1,1
1381,Taegu,South Korea,KS,POINT (14314684.78970863 4281924.213526561),2365523.0,2,0,90.8664378438096,inland,7220672.0,0,0,0,1,1
2231,Kuwait,Kuwait,KU,POINT (5340445.860375745 3424857.053598853),62074.0,6,1,0.0,coast,,0,0,0,1,1
2233,Al-Ahmadi,Kuwait,KU,POINT (5350905.436031936 3387997.761437114),30991.0,7,0,7.791603502981809,inland,31083.0,0,0,0,1,1
1011,Astana,Kazakhstan,KZ,POINT (7951774.024231912 6654794.494687579),1354507.0,2,1,3277.0446117846104,inland,,0,1,0,0,1
1258,Vientiane,Laos,LA,POINT (11430311.52090532 2037751.858390517),620157.0,3,1,345.45859695114746,inland,,0,1,0,0,1
750,Beirut,Lebanon,LE,POINT (3951841.519660886 4013146.303846376),1650000.0,2,1,2.4832929176353,coast,,0,0,0,1,1
751,Zahle,Lebanon,LE,POINT (3998484.827438754 4007739.794286323),140000.0,5,0,37.02287664598933,inland,1510000.0,0,0,0,1,1
2138,Riga,Latvia,LG,POINT (2677233.566401151 7735631.169677287),605273.0,3,1,24.61010939988343,coast,,1,0,1,0,1
2115,Vilnius,Lithuania,LH,POINT (2813707.034636997 7301655.644217811),592156.0,3,1,448.89379454736974,inland,,0,1,1,0,1
1784,Monrovia,Liberia,LI,POINT (-1201916.841368019 702842.130789922),1021762.0,2,1,0.4098918345509449,coast,,0,0,0,1,1
1780,Gbarnga,Liberia,LI,POINT (-1055676.079575276 781182.4464061459),56986.0,6,0,135.4902679926924,inland,964776.0,0,0,0,1,1
2039,Bratislava,Slovakia,LO,POINT (1906902.592149489 6131845.860535126),478040.0,4,1,544.4917927737044,inland,,0,1,0,0,1
915,Vaduz,Liechtenstein,LS,POINT (1059873.024624943 5965446.457520504),5747.0,7,1,406.1639281952249,inland,,0,1,1,0,1
2477,Maseru,Lesotho,LT,POINT (3060395.810558742 -3414905.743857604),343541.0,4,1,372.6956028581395,inland,,0,1,0,0,1
1997,Luxembourg,Luxembourg,LU,POINT (681275.3290413525 6378663.094597118),132780.0,5,1,425.26403611158895,inland,,0,1,0,0,1
637,Tripoli,Libya,LY,POINT (1464618.664584991 3881127.060492501),1063571.0,2,1,0.0,coast,,0,0,0,1,1
644,Sabha,Libya,LY,POINT (1606451.166290459 3131594.739816795),121895.0,5,0,565.5692008981828,inland,941676.0,0,0,0,1,1
2496,Antananarivo,Madagascar,MA,POINT (5290792.912356923 -2144107.504930166),1274225.0,2,1,161.30756110325356,inland,,0,0,0,1,1
2495,Toamasina,Madagascar,MA,POINT (5497323.523729072 -2057069.510761221),325857.0,4,0,1.9991260994624804,coast,948368.0,0,0,0,1,1
2129,Chisinau,Moldova,MD,POINT (3209340.617388989 5942073.758187871),532513.0,3,1,1005.320858569532,inland,,0,1,1,0,1
1414,Ulaanbaatar,Mongolia,MG,POINT (11901389.33629412 6095050.423070417),1466431.0,2,1,1815.285522616248,inland,,0,1,0,0,1
2451,Lilongwe,Malawi,MI,POINT (3759704.849487126 -1572266.603342588),1637583.0,2,1,579.8915277213501,inland,,0,1,0,0,1
609,Podgorica,Montenegro,MJ,POINT (2159598.600855055 5236173.475221044),179505.0,5,1,66.3163173872018,inland,,0,1,1,0,1
611,Skopje,North Macedonia,MK,POINT (2385948.320283648 5158483.43011942),526502.0,3,1,203.8500930448174,inland,,0,1,1,0,1
1737,Bamako,Mali,ML,POINT (-889051.1837402304 1420110.760872014),4227569.0,2,1,694.2166275357644,inland,,0,1,0,0,1
1923,Monaco,Monaco,MN,POINT (826436.0533886409 5426065.392508837),,0,1,0.9181752344135145,coast,,1,0,1,0,1
1643,Rabat,Morocco,MO,POINT (-760645.8230964893 4030815.79186785),577827.0,3,1,1.762565585327431,coast,,0,0,0,1,1
1666,Meknes,Morocco,MO,POINT (-618601.9156067969 4015918.700818739),525092.0,3,0,131.53193112428858,inland,52735.0,0,0,0,1,1
2497,Port Louis,Mauritius,MP,POINT (6400425.030690718 -2292588.201297303),140403.0,5,1,0.678114965811329,coast,,1,0,1,0,1
1705,Nouakchott,Mauritania,MR,POINT (-1778662.455808591 2047382.584549876),1446761.0,2,1,5.33043645818537,coast,,0,0,0,1,1
1678,Kiffa,Mauritania,MR,POINT (-1269487.313835416 1876286.411580395),146464.0,5,0,531.140458647062,inland,1300297.0,0,0,0,1,1
594,Valletta,Malta,MT,POINT (1614578.388657888 4288656.491748923),5157.0,7,1,0.3942086044146864,coast,,1,0,1,0,1
2298,Muscat,Oman,MU,POINT (6521986.598819567 2705591.948755304),24099.0,7,1,1.3918462265618052,coast,,1,0,0,0,1
259,Mexico City,Mexico,MX,POINT (-11034831.13317971 2205279.118866273),8843706.0,1,1,261.1907849334139,inland,,0,0,0,1,1
263,Acapulco,Mexico,MX,POINT (-11124323.64492566 1917842.697138475),658609.0,3,0,9.702919022236909,coast,8185097.0,0,0,0,1,1
1293,Kuala Lumpur,Malaysia,MY,POINT (11322082.92284056 350833.1677253333),1588750.0,2,1,39.765210146702096,inland,,0,0,0,1,1
1295,Kuching,Malaysia,MY,POINT (12283437.48154792 172454.7856762402),511500.0,3,0,10.71091837882451,coast,1077250.0,0,0,0,1,1
2457,Maputo,Mozambique,MZ,POINT (3626120.802413455 -2994375.617800983),1080277.0,2,1,1.943668153375124,coast,,0,0,0,1,1
2452,Nampula,Mozambique,MZ,POINT (4370069.399558634 -1702456.589765602),663212.0,3,0,134.9421545863811,inland,417065.0,0,0,0,1,1
1893,Niamey,Niger,NG,POINT (235997.8064117622 1518517.709508629),978029.0,3,1,809.4628908674545,inland,,0,1,0,0,1
2525,Port Vila,Vanuatu,NH,POINT (18737407.7148017 -2007138.203020746),49528.0,7,1,0.5368712838087447,coast,,1,0,1,0,1
1885,Abuja,Nigeria,NI,POINT (807777.1165491384 1012475.967103786),107069.0,5,1,431.6317959001163,inland,,0,0,0,1,1
1874,Lagos,Nigeria,NI,POINT (367354.6872851785 719532.4211919424),527157.0,3,0,5.254351272956466,coast,420088.0,0,0,0,1,1
1959,Amsterdam,Netherlands,NL,POINT (544891.0211397548 6867859.513336631),933263.0,3,1,38.87526684795946,inland,,0,0,0,1,1
1961,The Hague,Netherlands,NL,POINT (476559.1120493281 6813878.548228475),920705.0,3,0,4.249112950242012,coast,12558.0,0,0,0,1,1
934,Oslo,Norway,NO,POINT (1192454.202154025 8385947.640137548),1082575.0,2,1,5.153848204396093,coast,,0,0,0,1,1
933,Hamar,Norway,NO,POINT (1232195.597405706 8584609.588573746),29605.0,7,0,207.52929138794264,inland,1052970.0,0,0,0,1,1
1094,Kathmandu,Nepal,NP,POINT (9496994.534303332 3212713.991541774),862400.0,3,1,758.9167500618746,inland,,0,1,0,0,1
2528,Yaren,Nauru,NR,POINT (18581082.09023689 -57519.44475390565),803.0,7,1,0.0,coast,,1,0,1,0,1
1568,Paramaribo,Suriname,NS,POINT (-6141496.273865835 649667.5090603697),240924.0,5,1,7.974789540115106,coast,,0,0,0,1,1
1566,Onverwacht,Suriname,NS,POINT (-6144835.512598548 624383.8282787201),6113.0,7,0,33.23763512042944,inland,234811.0,0,0,0,1,1
353,Managua,Nicaragua,NU,POINT (-9603866.496610539 1362897.903203048),1055111.0,2,1,45.5843283173794,inland,,0,0,0,1,1
317,Bluefields,Nicaragua,NU,POINT (-9324788.092376893 1346960.757667503),56421.0,6,0,6.170743145518642,coast,998690.0,0,0,0,1,1
1506,Wellington,New Zealand,NZ,POINT (19459450.31784417 -5061856.656164672),212000.0,5,1,0.2650657763643884,coast,,0,0,0,1,1
2532,Hamilton,New Zealand,NZ,POINT (19511300.36808278 -4547829.84708859),179900.0,5,0,33.512099368039976,inland,32100.0,0,0,0,1,1
2499,Juba,South Sudan,OD,POINT (3517375.148096365 539881.9256746982),230195.0,5,1,1274.995948368315,inland,,0,1,0,0,1
105,Asuncion,Paraguay,PA,POINT (-6414451.205293102 -2913254.117164784),462241.0,4,1,985.726112826118,inland,,0,1,0,0,1
85,Lima,Peru,PE,POINT (-8576610.568998536 -1355041.49626849),11166200.0,1,1,3.422828497667018,coast,,0,0,0,1,1
14,Arequipa,Peru,PE,POINT (-7961903.892228147 -1850859.740048405),1125400.0,2,0,91.18098129545602,inland,10040800.0,0,0,0,1,1
1040,Islamabad,Pakistan,PK,POINT (8133062.368639299 3991020.020009773),1108872.0,2,1,1278.227541597021,inland,,0,0,0,1,1
2297,Karachi,Pakistan,PK,POINT (7461523.310572849 2862607.916967412),18868021.0,1,0,10.59609181296914,coast,17759149.0,0,0,0,1,1
2029,Warsaw,Poland,PL,POINT (2339031.489232488 6844536.595498353),1861599.0,2,1,410.1578670223208,inland,,0,0,0,1,1
2011,Gdansk,Poland,PL,POINT (2073325.108763053 7239779.893327274),487371.0,4,0,2.285375542413134,coast,1374228.0,0,0,0,1,1
308,Panama,Panama,PM,POINT (-8851800.698424753 1006345.651613877),1132969.0,2,1,2.53271444065364,coast,,0,0,0,1,1
300,Santiago,Panama,PM,POINT (-9012982.411119353 904818.8073821744),51339.0,6,0,23.65130486571087,inland,1081630.0,0,0,0,1,1
1647,Lisbon,Portugal,PO,POINT (-1016346.461379616 4683069.432627457),545796.0,3,1,2.318931002698549,coast,,0,0,0,1,1
1637,Braga,Portugal,PO,POINT (-938088.980717473 5093064.314406605),175834.0,5,0,36.77302916820876,inland,369962.0,0,0,0,1,1
2522,Port Moresby,Papua New Guinea,PP,POINT (16380434.67873022 -1062096.818872188),364125.0,4,1,0.0,coast,,0,0,0,1,1
